Day,Market Participant,Equity Option Contracts,Equity Option Trade Count,Equity Option Notional,Index/Other Option Contracts,Index/Other Option Trade Count,Index/Other Option Notional,Total Option Contracts,Total Trade Count,Total Option Notional
2025-06-03,NYSE American Options (A),2717240,330628,864693758.000000,0,0,0.000000,2717240,330628,864693758.000000
2025-06-03,BOX Options (B),3113744,343886,2068871438.000000,0,0,0.000000,3113744,343886,2068871438.000000
2025-06-03,Cboe Options Exchange (C),5136199,817571,1819098545.000000,3996482,953522,11108152141.000000,9132681,1771093,12927250686.000000
2025-06-03,MIAX Emerald (D),1917629,352634,613814216.000000,0,0,0.000000,1917629,352634,613814216.000000
2025-06-03,Cboe EDGX Options Exchange (E),2342513,379023,588964984.000000,0,0,0.000000,2342513,379023,588964984.000000
2025-06-03,Nasdaq GEMX (H),2363530,309192,695229145.000000,1855,122,21628950.000000,2365385,309314,716858095.000000
2025-06-03,Nasdaq ISE (I),2784728,417314,1173263449.500000,31827,12489,259891548.000000,2816555,429803,1433154997.500000
2025-06-03,Nasdaq MRX (J),1436936,207552,383781474.000000,0,0,0.000000,1436936,207552,383781474.000000
2025-06-03,MIAX Options Exchange (M),3297174,592304,1021686011.000000,0,0,0.000000,3297174,592304,1021686011.000000
2025-06-03,NYSE Arca Options (N),5106837,703022,1922352625.000000,0,0,0.000000,5106837,703022,1922352625.000000
2025-06-03,MIAX Pearl (P),644874,83531,160152321.000000,0,0,0.000000,644874,83531,160152321.000000
2025-06-03,NASDAQ Options Market (Q),1440964,194862,436591060.000000,0,0,0.000000,1440964,194862,436591060.000000
2025-06-03,MIAX Sapphire (S),835100,138551,232951026.000000,0,0,0.000000,835100,138551,232951026.000000
2025-06-03,Nasdaq BX Options (T),784752,87886,137396659.000000,0,0,0.000000,784752,87886,137396659.000000
2025-06-03,Members Exchange (U),1604932,239349,437892778.000000,0,0,0.000000,1604932,239349,437892778.000000
2025-06-03,Cboe C2 Options Exchange (W),1313841,167064,312094509.000000,15619,4376,27137154.000000,1329460,171440,339231663.000000
2025-06-03,Nasdaq PHLX (X),3950328,408703,2450292367.000000,34669,14779,205297636.000000,3984997,423482,2655590003.000000
2025-06-03,Cboe BZX Options Exchange (Z),1740204,263264,619622667.000000,1251,333,3245786.000000,1741455,263597,622868453.000000
2025-06-02,NYSE American Options (A),2643097,285585,716196750.000000,0,0,0.000000,2643097,285585,716196750.000000
2025-06-02,BOX Options (B),2654997,288498,2029568348.000000,0,0,0.000000,2654997,288498,2029568348.000000
2025-06-02,Cboe Options Exchange (C),4489988,766739,1482429057.000000,3743188,938769,9514698660.000000,8233176,1705508,10997127717.000000
2025-06-02,MIAX Emerald (D),1757173,326296,511034884.000000,0,0,0.000000,1757173,326296,511034884.000000
2025-06-02,Cboe EDGX Options Exchange (E),2402792,359665,583463547.000000,0,0,0.000000,2402792,359665,583463547.000000
2025-06-02,Nasdaq GEMX (H),2128670,288063,533099025.000000,175,73,3287020.000000,2128845,288136,536386045.000000
