Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2025/01/20,SPX,SPX,I,CBOE,2473910
2025/01/27,SPX,SPX,I,CBOE,1962715
2025/02/03,SPX,SPX,I,CBOE,2127599
2025/02/10,SPX,SPX,I,CBOE,1941208
2025/02/17,SPX,SPX,I,CBOE,2583763
2025/02/24,SPX,SPX,I,CBOE,2624356
2025/03/03,SPX,SPX,I,CBOE,3152423
2025/03/10,SPX,SPX,I,CBOE,4516301
2025/03/17,SPX,SPX,I,CBOE,3468758
2025/03/24,SPX,SPX,I,CBOE,2228047
2025/03/31,SPX,SPX,I,CBOE,3851054
2025/04/07,SPX,SPX,I,CBOE,5373982
2025/04/14,SPX,SPX,I,CBOE,3256910
2025/04/21,SPX,SPX,I,CBOE,2605148
2025/04/28,SPX,SPX,I,CBOE,2651783
2025/05/05,SPX,SPX,I,CBOE,2067420
2025/05/12,SPX,SPX,I,CBOE,3820200
2025/05/19,SPX,SPX,I,CBOE,2271075
2025/05/26,SPX,SPX,I,CBOE,1254120
2025/06/02,SPX,SPX,I,CBOE,907303
